"","Operator","Type","NumberOfCrashes"
"481","Air Outre-Mer","Douglas C-47A",1
"482","Air Outremer","Douglas DC-3",1
"483","Air Pennsylvania - Air Taxi","Piper PA-31-350",1
"484","Air Pereira","Cessna 500 Citation I",1
"485","Air Philippines","Boeing B-737-2H4",1
"486","Air Rainbow","Beech C18S",1
"487","Air Reconnaissance Unit of Liberia","Cessna U-27A Caravan I",1
"488","Air Rhodesia","Vickers Viscount 748D",1
"489","Air Rhodesia","Vickers Viscount 782D",1
"490","Air Rouergue","Fokker F-27 Friendship 500",1
"491","Air São Tomé","de Havilland Canada DHC-6 Twin Otter 300",1
"492","Air Saint Maurice Inc.","de Havilland DHC-2 Mk 1 Beaver",1
"493","Air Satellite","Britten-Norman Trislander",1
"494","Air Senegal","Hawker Siddeley HS-748-353 Srs.2a",1
"495","Air Senegal / Gambia Airways","DHC-6 Twin Otter 300 / NAMC YS-11",1
"496","Air Serv Internatiional/CemAir","Beechcraft 1900C-1",1
"497","Air Service - Air Taxi","Beech 58",1
"498","Air Services","Pilatus Britten Norman BN-2A-27 Islander",1
"499","Air Sinai","Ilyushin IL-18D",1
"500","Air South","Beechcraft B-99",1
"501","Air St. Martin","Beechcraft 1900D",1
"502","Air Sunshine","Cessna 402C",1
"503","Air Tahiti","Dornier Do-228-212",1
"504","Air Tahoma","Convair CV-580",1
"505","Air Taroma","Convair CV-580",1
"506","Air taxi","Beech Baron 95-B55",1
"507","Air taxi","Cessna 172G",1
"508","Air taxi","Cessna 210",1
"509","Air taxi","Cessna U206A",1
"510","Air Taxi","Beechcraft 58TC",1
"511","Air Taxi","Beechcraft 95-B55",1
"512","Air Taxi","Beechcraft B-100",1
"513","Air Taxi","Beechcraft B-35",1
"514","Air Taxi","Beechcraft C90",1
"515","Air Taxi","Beechcraft E18S",1
"516","Air Taxi","Bell 206 L-1",1
"517","Air Taxi","Bell 296B",1
"518","Air Taxi","Cessna 120",1
"519","Air Taxi","Cessna 172F",1
"520","Air Taxi","Cessna 210",1
"521","Air Taxi","Cessna 310J",1
"522","Air Taxi","Cessna 401",1
"523","Air Taxi","Cessna 402",1
"524","Air Taxi","Cessna 402B",1
"525","Air Taxi","Cessna 402C",1
"526","Air Taxi","Cessna A185F",1
"527","Air Taxi","Cessna C-207A",1
"528","Air Taxi","Cessna T207A",1
