"","Operator","Type","NumberOfCrashes"
"562","Air Taxi - Bigfoot Air of Alaska, LLC","de Havilland DHC-2",1
"563","Air Taxi - Bohemia Inc.","Aerospatiale 350B1",1
"564","Air Taxi - Centre Airlines Inc.","Beech E18S",1
"565","Air Taxi - Coastal Airways Inc.","Cessna 172N",1
"566","Air Taxi - Coastal Helicopters Inc.","Eurocopter AS-350BA",1
"567","Air Taxi - Continental Air Taxi","EMB 810C Seneca",1
"568","Air taxi - Cuiaba Air Taxi","Beech BE-55",1
"569","Air Taxi - Custom Air Transport Inc.","Cessna T210",1
"570","Air Taxi - Delaware Aviation LLC","PA-23-250",1
"571","Air Taxi - Desert Flying Service","Cessna R182",1
"572","Air Taxi - Durango Air Service","Cessna 172RG",1
"573","Air Taxi - Eidoarie Inc.","Cessna 320B",1
"574","Air Taxi - El Aero Services Inc.","Bell 206B3",1
"575","Air Taxi - Flying School of the Cascades Inc.","Cessna 310 N",1
"576","Air Taxi - Four Corners Aviation Inc.","Cessna U206",1
"577","Air Taxi - Grant Aviation Inc.","Cessna 207",1
"578","Air Taxi - Great Northern Aircraft Co.","Cessna 421",1
"579","Air Taxi - Guinn Flying Service","Beechcraft 58",1
"580","Air Taxi - Haines Airways Inc.","Piper PA-32",1
"581","Air Taxi - Hawaii Helicopters Inc.","Aerospatiale AS-350B",1
"582","Air Taxi - Henson Airlines","Beechcraft B99",1
"583","Air Taxi - Iliamna, Air Taxi Inc.","Cessna U206G",1
"584","Air Taxi - Island Air Service","Piper PA-32-301",1
"585","Air Taxi - Island Airlines","Cessna 207",1
"586","Air Taxi - Islip Airco Inc.","Cessna 414A",1
"587","Air taxi - Jao Air Taxi","Beech Baron",1
"588","Air Taxi - Jet Alaska","Learjet 24D",1
"589","Air Taxi - Lab Flying Service Inc.","Piper PA-32R-300",1
"590","Air Taxi - Lake Clark Air Inc.","Piper PA-32-260",1
"591","Air Taxi - Las Vegas Flyers Inc.","Cessna 402B",1
"592","Air taxi - Lider Air Taxi","Sikorsky S-76",1
"593","Air Taxi - MajestiAlliance","Cessna TU206G",1
"594","Air Taxi - Marco Zero Air Taxi","EMB 721C Sertanejo",1
"595","Air Taxi - Martin Aviation LP","Israel Aircraft Industries 1124A",1
"596","Air Taxi - Mercy Flights Inc.","Gulfstream AC-680F",1
"597","Air Taxi - Minuteman Aviation Inc.","Cessna 421A",1
"598","Air Taxi - Monument Valley Air Service","Cessna U206G",1
"599","Air Taxi - National Helicopters","Bell 206L-4",1
"600","Air Taxi - New England Airlines","Piper PA-32-260",1
"601","Air Taxi - New London Flying Services Inc.","Piper PA-28-181",1
"602","Air Taxi - Northern Air Services Inc.","Beechcraft G18S",1
"603","Air Taxi - Northern Arizona Aircraft Inc.","Piper PA-32-300",1
"604","Air Taxi - Ohana Helicopter Tours","Eurocopter AS-350-BA",1
"605","Air Taxi - Oklahoma Airways Inc.","Cessna 402B",1
"606","Air Taxi - Ozark Skyways Inc.","Cessna 182R",1
"607","Air Taxi - Papillion Helicopters Ltd.","Aerospatiale AS350D",1
"608","Air Taxi - Paramount Aviation Corp.","Agusta A109A MK II",1
"609","Air Taxi - Peninsula Airways","Piper PA-32-301",1
"610","Air Taxi - Petroleum Helicopters Inc.","Aerospatiale SA-330J",1
"611","Air Taxi - Raco Helicopters Corp.","Aerospeciale AS-350D",1
"612","Air Taxi - Richards Aviation Inc.","Piper PA-31",1
"613","Air Taxi - Richmor Aviation","Learjet35A",1
"614","Air taxi - Rumo Notre Air Taxi","EMB 721C Sertanejo",1
"615","Air Taxi - Ryan Air Service","Cessna 402C",1
"616","Air Taxi - Sea PacifiInc.","Aerospatiale SA316B",1
"617","Air Taxi - Seaside Air Service","de Havilland DHC-2",1
"618","Air Taxi - South Coast Helicopters Inc.","Bell 206B3",1
"619","Air Taxi - Stanley Air Taxi","Cessna U206F",1
"620","Air Taxi - Stearns Air Alaska","Cessna 206G",1
"621","Air Taxi - Sun Western Flyers Inc.","de Havilland DHC-3",1
"622","Air Taxi - TAJ FBO Co.","Piper PA-28-181",1
"623","Air Taxi - Talon Air Services Inc.","de Havilland DHC-2",1
"624","Air taxi - TAM","Cessna 550 Citation II",1
"625","Air Taxi - Temesco Helicopters Inc.","Cessna CE185",1
"626","Air Taxi - Trail Lake Flying Service Inc.","Cessna 207A",1
"627","Air Taxi - Transamerica","Learjet 25C",1
"628","Air Taxi - Tyee Airlines Inc.","de Havilland DHC-2",1
"629","Air Taxi - US Helicopters Inc.","Bell 206L-3",1
"630","Air Taxi - Uyak Air Services Inc.","de Havilland DHC-2",1
"631","Air Taxi - Western Helicopter Inc.","Bell 47J-2",1
"632","Air Taxi - Wilderness Aviation Inc.","Cessna T207A",1
"633","Air Taxi - Wolfe Air Aviation Ltd.","Bell 206B",1
"634","Air Taxi -Wilderness Aviation Inc.","Cessna 206",1
"635","Air Transit - Air Taxi","Cessna 182B",1
"636","Air Transport","Ilyushin IL-76TD",1
"637","Air Transport","Short  S-29 Stirling V",1
"638","Air Transport Associates","Curtiss C-46F-1-CU",1
"639","Air Transport Charter","Douglas C-47A",1
"640","Air Trek","IAI 1124 Westwind",1
"641","Air Turks & Caicos","Beechcraft Super King Air B200",1
"642","Air Union","Bleriot 155",1
"643","Air Union","Bleriot Spad 56",1
"644","Air Union","Breguet 14",1
"645","Air Union","Farman F-60 Goliath",2
"646","Air Union","Farman F-63",1
"647","Air Union","Liore-et-Olivier 213",1
"648","Air Union","Liore et Olivier 190",1
"649","Air Union","SPCA Meteore 63",1
"650","Air US / Private","Hadley Page 137Jetstream I / Cessna 206",1
"651","Air Vietnam (South Vietnam)","Boeing B-727-121C",1
"652","Air Vietnam (South Vietnam)","Bristol 170 Freighter 21E",1
"653","Air Vietnam (South Vietnam)","Douglas C-54D",1
"654","Air Vietnam (South Vietnam)","Douglas C-54D-1-DC",1
"655","Air Vietnam (South Vietnam)","Douglas DC-3",3
"656","Air Vietnam (South Vietnam)","Douglas DC-3-DST",1
"657","Air Vietnam (South Vietnam)","Douglas DC-4",1
"658","Air Vietnam (South Vietnam)","Douglas DC-4 / USAF F-4E",1
"659","Air Vietnam (South Vietnam)","Douglas DC-6B",1
"660","Air West","Ilyushin 76TD",1
"661","Air West Airlines Ltd.","de Havilland Canada DHC-6 Twin Otter 100",1
"662","Air Wisconsin","Swearingen 226TC Metro II",1
"663","Airborne Express","Cessna 208B Caravan I",1
"664","Airborne Express","McDonnell Douglas DC-8-63F",1
"665","Airborne Transport","Douglas DC-3",1
"666","Airbus Industrie","Airbus A330-321",1
"667","Airco Charters - Air Taxi","PA-34-220T Seneca III",1
"668","Aircraft Charter Group Inc","Learjet 35A",1
"669","Aircraft Transport and Travel","De Havilland DH-4",2
"670","AIRES Colombia","Embraer 110P1 Bandeirante",2
"671","Airfast Indonesia","Douglas C-47A",1
"672","Airfast Indonesia","Douglas C-47A-5-DK",1
"673","Airfast Services","Hawker Siddeley HS-748-2A",1
"674","Airfast Services","Sikorsky S-58ET",1
"675","Airline Transport","Ilyushin II-76TD",1
"676","Airline Transport Carriers","Douglas DC-3 (C-47B-DK)",1
"677","Airlines of Australia","Stinson Model A",1
"678","Airlines of PNG","de Havilland DHC-6 Twin Otter 300",1
"679","Airlink","Britten Norman BN-2A Trislander",1
"680","Airlink","Embraer 110P2 Bandeirante",1
"681","AirNow","Embraer 110 Bandeirante",1
"682","AirNow","Embraer EMB-110 Bandeirante",1
"683","Airquarius Aviation - Charter","Hawker Siddeley HS-748-372",1
"684","Airtech Rajawaldi Udara","Shorts SC-7 Skyvan 3-100",1
"685","Airwave Transport","Grumman G-159 Gulfstream I",1
"686","Airways","Douglas C-47A",1
"687","AirWest Airlines","de havilland Canada Twin Otter 200",1
"688","Airwork","Handley Page HP-81 Hermes 4A",1
"689","Airwork","Swearingen SA227AC Metro III",1
"690","Aitalia","McDonnell Douglas DC-8",1
"691","Akhal Air","Mil Mi-8T (helicopter)",1
"692","Aktiebolaget Aerotransport","Douglas DC-3",1
"693","Ala Littoria","Junkers JU-52",1
"694","Ala Littoria","Savoia-Marchetti SM73",1
"695","Ala Littoria","Savoia Marchetti S-66",1
"696","Alada","Antonov An-12BP",1
"697","ALADA","Antonov AN-12B",1
"698","Alamo Airways","de Havilland 104-6A",1
"699","Alantis Aviation","Britten Norman BN-2A Trislander Mk3",1
"700","Alas Chiricanas","Embraer 110P1 Bandeirante",1
"701","Alas del Sur","Rockwell Sabreliner 60",1
"702","Alas Nacionales, leased from Birgen Air","Boeing B-757-225",1
"703","Alaska-Washington Airways","Lockheed Vega",1
"704","Alaska Aeronautical Industries","de Havilland Canada DHC-6 Twin Otter 200",1
"705","Alaska Airlines","Boeing B-727-193",1
"706","Alaska Airlines","Boeing B-727-81",1
"707","Alaska Airlines","Douglas C-54A",1
"708","Alaska Airlines","Douglas C-54B",1
"709","Alaska Airlines","Douglas DC-2",1
"710","Alaska Airlines","Douglas DC-3C",1
"711","Alaska Airlines","Douglas DC-6A",1
"712","Alaska Airlines","McDonnell Douglas MD-83",1
"713","Alaska Airlines","Stinson AT-19",1
"714","Alaska Coastal Airlines","Grumman G-21 Goose",1
"715","Alaska Helicopter - Air Taxi","Fairchild Hiller FH1100",1
"716","Alaska International Air","Lockheed L-100 Hercules",1
"717","Alaska Travel","de Havilland DHC-2",1
"718","Albancion Circulo","Douglas DC-6",1
"719","ALFA","Short Sandringham 2 (flying boat)",1
"720","Alia Royal Jordanian Airlines","Boeing B-707-321C",1
"721","Alia Royal Jordanian Airlines","Boeing B-707-3D3C",1
"722","Alia Royal Jordanian Airlines","Boeing B-727-2D3",1
"723","Alia Royal Jordanian Airlines","Handley Page Dart Herald 207",1
"724","ALIANSA Colombia","Douglas DC-3C (C-47A-DK)",1
"725","Alii Air Hawaii - Air Taxi","Beechcraft D 18S",1
"726","Alitalia","Douglas DC-7C",1
"727","Alitalia","McDonnell Douglas DC-8-43",2
"728","Alitalia","McDonnell Douglas DC-9-32",2
"729","Alitalia","Savoia Marchetti SM-95",1
"730","Alitalia","Vickers 785D Viscount",1
"731","Alitalia","Vickers Viscount 785D",1
"732","All Nippon Airways","Boeing B-727-81",1
"733","All Nippon Airways","Boeing B-747",1
"734","All Nippon Airways","Douglas DC-3",2
"735","All Nippon Airways","NAMC-YS-11-111",1
"736","All Nippon Airways","Vickers 828 Viscount",1
"737","All Nippon Airways /  Japanese Air Force","Boeing B-727-281 / Air Force F86F",1
"738","Allegheny Airlines","Convair CV-340/440",1
"739","Allegheny Airlines","Convair CV-580",3
"740","Allegheny Airlines","Martin 202",1
"741","Allegheny Airlines","Nord 262",1
"742","Allegheny Airlines / Forth Corporation","MD Douglas DC-9-31/Piper Cherokee PA-28",1
"743","Alliance Airlines","Dornier 228-201",1
"744","Allied Air Freight","Douglas C-47A-10-DK",1
"745","Aloha Airlines","Boeing B-737-297",1
"746","Aloha Island Air","de Havilland DHC-6 Twin Otter 300",1
"747","Alpa Servicios Aéreos","Cessna 500 Citation I",1
"748","Alpena Flying Service - Air Taxi","Swearingen SA26AT",1
"749","Alpha Airways","Handley Page Halifax C-8",1
"750","Alpine Air Express","Beechcraft 99",1
"751","Alpine Aviation ","Beechcraft 1900C",1
"752","AltusFlying Service - Air Taxi","Piper PA-31",1
"753","Alva Aircraft Service - Taxi","Cessna 182B",1
"754","Alyemda","de Havilland Canada DHC-7-103",1
"755","Alyemda","Douglas DC-3",1
"756","Alyemda Airlines","Boeing 707-336C",1
"757","Amazonese Importacao e Exportacao","Lockheed 049 Constellation",1
"758","Ambler Air Service","Cessna 185",1
"759","Amee de l'Air","Lioré-et-Olivier H-13",1
"760","American Air  Export & Import Co.","Curtiss C-46F-1-CU",1
"761","American Airlines","Airbus A-300-605R",1
"762","American Airlines","Airbus A300-600R",1
"763","American Airlines","Boeing 707-123",2
"764","American Airlines","Boeing 767-223ER",1
"765","American Airlines","Boeing B-707-123B",1
"766","American Airlines","Boeing B-727",1
"767","American Airlines","Boeing B-727-227",1
"768","American Airlines","Boeing B-727-23",1
"769","American Airlines","Boeing B-727-95",1
"770","American Airlines","Boeing B-757-223",2
"771","American Airlines","Convair CV-240-0",5
"772","American Airlines","Douglas DC-2-120",1
"773","American Airlines","Douglas DC-3",5
"774","American Airlines","Douglas DC-3-227B",1
"775","American Airlines","Douglas DC-3 (C-50A-DO)",1
"776","American Airlines","Douglas DC-3C",1
"777","American Airlines","Douglas DC-4",1
"778","American Airlines","Douglas DC-6",2
"779","American Airlines","Douglas DC3-G102",1
"780","American Airlines","Lockheed  188A Electra",1
"781","American Airlines","Lockheed Orion 9D",1
"782","American Airlines","McDonnell Douglas DC-10-10",1
"783","American Airlines","McDonnell Douglas MD-82",1
"784","American Airlines","Stinson Model A",1
"785","American Airlines","Vultee V-1",1
"786","American Airlines / Military - USAF","Douglas DC-3 / Boeing B-34",1
"787","American Airlines / Private","Boeing B-707-323 / Cessna 150",1
"788","American Airways","Curtiss Condor T-32",1
"789","American Airways","Fairchild Pilgrim 100A",2
"790","American Airways","Fokker F-10",1
"791","American Airways","Fokker F-10A",1
"792","American Airways","Ford 5-AT-C Tri Motor",1
"793","American Airways","Pitcairn PA-6 Mailwing",1
"794","American Airways","Stearman 4",2
"795","American Eagle","ATR-72-212",1
"796","American Eagle","British Aerospace Jetstream 3201",1
"797","American Eagle","CASA 212 Aviocar 200",2
"798","American Export Airlines","Sirkorsky 44A (flying boat)",1
"799","American Express Leasing","Douglas DC-7CF",1
"800","American Flyers Airline","Lockheed 188C Electra",1
"801","American International Airways","McDonnell Douglas DC-8-61",1
"802","American Jet","Grumman Gulfstream II",1
"803","American Overseas Airlines","Douglas C-54E-5-DO",1
"804","American Virginia","Learjet 60",1
"805","Ameriflight","Beechcraft C99",3
"806","Ameriflight","Swearingen SA227AT Merlin IVC",1
"807","Ameristar Jet Charter","Learjet 24F",1
"808","Ameristar Jet Charter","Learjet 25",1
"809","Ameristar Jet Charter","Learjet 25B",1
"810","Amphibians","Britten Norman BN-2A Trislander Mk.III-2",1
"811","Anchorage Helicopter - Air Taxi","Bell 206",1
"812","ANDESA","Curtiss C-46D-10-CU",1
"813","Angola Air Charter","Boeing 707-328C",1
"814","Ansett Airlines of Papua New Guinea","Shorts SC-7 Skyvan 3-300",1
"815","Ansett ANA","Douglas C-47",1
"816","Ansett ANA","Douglas DC-4-1009",1
"817","Ansett ANA","Vickers Viscount 720",1
"818","Ansett ANA","Vickers Viscount 832",1
"819","Ansett New Zealand","de Havilland Canada DHC-8-102",1
"820","ANT Air Taxi","Piper PA-31-350 Navajo",1
"821","Antilles Air","Grumman G-21",1
"822","Antilles Air","Grumman G-21A seaplane",1
"823","Antillian Airlines","McDonnell Douglas DC-9-33CF",1
"824","Antillies Air - Air Taxi","Grumman G-21A",1
"825","Apache Airlines - Air Taxi","de Havilland 104-7X",1
"826","Apline Aviation","Beechcraft 1900C-1",1
"827","APRL","Antonov An-2T",1
"828","Aquilla Airways","Short Solent 3 (flying boat)",1
"829","Arall","Pilatus Britten-Norman BN-2B-27 Islander",1
"830","Aramar","Beech King Air F90",1
"831","Aramco Associated Company","Bell 214ST helicopter",1
"832","Ararat Avia","Yakovlev YAK-40",1
"833","Arax Airlines","Douglas DC-8-55F",1
"834","Aray-Avia","PZL-MieleAN-2R",1
"835","Archana Airlines","Let 410",1
"836","ArctiCircle Air Service","Shorts SC-7 Skyvan 3A-200",1
"837","ArctiPacific","Curtiss C-46F-1-CU",1
"838","ArctiTransportation Services","Cessna 208B Caravan I",1
"839","ArctiWings & Rotors","Britten Norman BN-2A Trislander7",1
"840","AREA","Douglas DC-3",1
"841","AREA","Fairchild F-27A",1
"842","Argentina CAA","Douglas DC-3",1
"843","Ariana Afghan Airlines","Antonov AN-12BP",1
"844","Ariana Afghan Airlines","Antonov AN-26",2
"845","Ariana Afghan Airlines","Antonov AN-26B",1
"846","Ariana Afghan Airlines","Boeing B-727-113C",1
"847","Ariana Afghan Airlines","Boeing B-727-228",1
"848","Ariana Afghan Airlines","Douglas DC-3",1
"849","Ariana Afghan Airlines","Douglas DC-4",1
"850","Ariana Afghan Airlines","Yakovlev YAK-40",1
"851","Armavia","Airbus A320-211",1
"852","Aroostook Air - Air Taxi","Piper PA-23",1
"853","Arrow Airlines","Douglas DC-3",1
"854","Arrow Airways","McDonnell Douglas DC-8 Super 63PF",1
"855","Arsenyev Aviation Production Association","Antonov AN-8",1
"856","ARTOP Aerotopografica LDA","Martin Mariner",1
"857","Asa Pesada","Antonov AN-26",1
"858","Asian Spirit","Let 410UVP",1
"859","Asiana Airlines","Boeing B-737-5L9",1
"860","Aspring Air","Britten-Norman BN-2A-26 Trislander",1
"861","Associated Air Transport","Curtiss C-46",1
"862","Associated Airways","Avro 685 York C-1",2
"863","Associated Aviators","Lockheed Vega",1
"864","Astrd Wing Aviaiton - Air Taxi","Cessna 310J",1
"865","Astro Air Taxi","Embraer 820C Navajo",1
"866","ATESA","Cessna 208B Grand Caravan",1
"867","ATI","McDonnell Douglas DC-8-63F",2
"868","ATI Aircompany","Ilyushin 76MD",1
"869","AtlantiAirlines","LET 410UVP-E",1
"870","AtlantiAirways","BAe 146-200",1
"871","AtlantiCentral Airlines","Lockheed 18-56 Lodestar",1
"872","AtlantiCity Airlines","de Havilland Canada DHC-6 Twin Otter 300",1
"873","AtlantiCoast Airlines (United Express)","British Aerospace Jetstream 4101",1
"874","AtlantiSoutheast Airlines","Embraer 120-RT Brasilia",1
"875","AtlantiSoutheast Airlines","Embraer 120RT- Brasilia",1
"876","AtlantiSoutheast Airlines","Embraer 120RT Brasilia",1
"877","Atlasjet Airlines","McDonnell Douglas MD-83",1
"878","Atran","Antonov AN-12BP",1
"879","Augusta Aviaiton - Air Taxi","Piper PA-23",1
"880","Aurukun Air Services","Britten-Norman BN-2A-21 Trislander",1
"881","Austin Airways","de Havilland Canada DHC-3 Otter",1
"882","Austin Airways","de Havilland Canada DHC-6 Twin Otter 300",1
"883","Austin Airways","De Havilland Dash-6",1
"884","Austin Airways","Douglas C-47B",1
"885","Austral Lineas Aeras (Argentina)","BAC One-Eleven 420EL",1
"886","Austral Lineas Aeras (Argentina)","BAC One-Eleven 529FR",1
"887","Austral Lineas Aeras (Argentina)","Curtiss C-46A-50-CU",1
"888","Austral Lineas Aeras (Argentina)","McDonnell Douglas DC-9-32",1
"889","Austral Lineas Aeras (Argentina)","McDonnell Douglas MD-81",1
"890","Australian Aerial Services","Lasco Lascowl",1
"891","Australian National Airways","Avro 10",1
"892","Australian National Airways","De Havilland DH-60",1
"893","Australian National Airways","Douglas DC-2-112",1
"894","Australian National Airways","Douglas DC-3",2
"895","Australian National Airways","Douglas DC-3 (C-47DL)",1
"896","Australian National Airways","Stinson Model A",1
"897","Austria-Flugdienst","Douglas DC-3",1
"898","Austrian Airlines","Vickers Viscount 837",1
"899","Autrex","Douglas C-54A",1
"900","Autrex","Douglas DC-3",1
"901","Autrex","Douglas DC-4",1
"902","AV Air / American Eagle","Swearingen SA227-AC",1
"903","Avalki Air","Britten-Norman BN-2A-6 Islander",1
"904","Avanti Aviation -Air Taxi","Cessna 210-5A",1
"905","AVCOM","de Havilland Canada DHC-6 Twin Otter 300",1
"906","Avensa","Convair CV-580",1
"907","Avensa","Douglas C-47-DL",1
"908","Avensa","Douglas C-47A",1
"909","Avensa","Douglas DC-3",2
"910","Avensa","Fairchild F-27",1
"911","Avensa","McDonnell Douglas DC-9-32",1
"912","AVENSA","Curtiss C-46F",1
"913","Avesca Colombia","Curtiss C-46F-1-CU",1
"914","Avia-Taxi","Cessna 402",1
"915","Avia Air Aruba","Cessna 402",1
"916","Aviaco","Bristol 170 Freighter",1
"917","Aviaco","Bristol 170 Freighter 21",1
"918","Aviaco","Bristol 170 Freighter 21E",1
"919","Aviaco","de Havilland DH-114 Heron 2D",2
"920","Aviaco","McDonnell Douglas DC-8-52",1
"921","Aviaco","SNCASE Languedoc",1
"922","Aviaco","Sud-Aviation Caravelle 10-R",1
"923","Aviaco","Sud Aviation SE-210 Caravelle",1
"924","Aviaimpex (Macedonia)","Yakovlev YAK-42D",1
"925","Avianca","Douglas C-47A",1
"926","Avianca","Douglas DC-4",1
"927","AVIANCA","Boeing 727-24C",1
"928","AVIANCA","Boeing B-707-321B",1
"929","AVIANCA","Boeing B-727-21",2
"930","AVIANCA","Boeing B-747-283B",1
"931","AVIANCA","Consolidated PBY-5A Catalina",1
"932","AVIANCA","Douglas C-47",1
"933","AVIANCA","Douglas C-47-DL",1
"934","AVIANCA","Douglas C-47A",2
"935","AVIANCA","Douglas C-47A-80-DL",1
"936","AVIANCA","Douglas C-47DL",1
"937","AVIANCA","Douglas DC-3",5
"938","AVIANCA","Douglas DC-3 ( C-47-DO)",1
"939","AVIANCA","Douglas DC-3 / Piper PA-18A",1
"940","AVIANCA","Douglas DC-4",2
"941","AVIANCA","Douglas DC-6-54B",1
"942","AVIANCA","Lockheed 1049E Super Constellation",1
"943","AVIANCA","Lockheed 749A-79 Constellation",1
"944","AVIANCA / AVIANCA","Douglas DC-3 / Douglas DC-3",1
"945","Aviastar Mandiri","British Aerospace BAe-146-300",1
"946","Aviateca","Boeing B-737-2H6",1
"947","Aviateca","Convair CV-440",1
"948","Aviateca","Curtiss C-46A-55-CK",1
"949","Aviateca","Curtiss C-46D",1
"950","Aviateca","Douglas DC-3",2
"951","Aviation Charter - Air Taxi","Beechcraft King Air A100",1
"952","Aviation Charter - Air Taxi","Cessna 337G",1
"953","Aviation Charter - Air Taxi","Piper PA-28R",1
